job_id,photons,instance,wdao_wf_error,joint_wf_error,wdao_reproj_error,joint_reproj_error,wdao_estimate_s,wdao_final_solve_s,wdao_estimate_plus_final_solve_s
p10/sample00,10,0,0.2858302593231201,0.27465349435806274,0.7380688786506653,0.7359939813613892,51.3540645185858,109.29490224644542,160.64896676503122
p10/sample01,10,1,0.2773418724536896,0.3034294843673706,0.7008677124977112,0.7010670304298401,51.392952501773834,109.29302365332842,160.68597615510225
p10/sample02,10,2,0.3874460756778717,0.28461703658103943,0.9066736102104187,0.8822178840637207,51.37197104841471,109.26680121012032,160.63877225853503
p10/sample03,10,3,0.4141942858695984,0.5716626644134521,0.7838393449783325,0.8000895380973816,51.63749283365905,109.37277047149837,161.01026330515742
p10/sample04,10,4,0.22361363470554352,0.380918949842453,0.7068510055541992,0.7181761264801025,51.47024246305227,109.35179636441171,160.82203882746398
p10/sample05,10,5,0.7055677175521851,0.16824981570243835,0.7698007225990295,0.7155702710151672,51.41457557119429,109.22897680848837,160.64355237968266
p10/sample06,10,6,0.31097716093063354,0.1909942924976349,0.7693635821342468,0.7524571418762207,51.39384159259498,109.40268397890031,160.7965255714953
p10/sample07,10,7,0.7812381386756897,0.23727752268314362,1.0610902309417725,0.826278567314148,51.38909116946161,109.27812371961772,160.66721488907933
p10/sample08,10,8,0.24325205385684967,0.18904122710227966,0.5933429002761841,0.6027300357818604,51.62714498862624,108.96342376060784,160.59056874923408
p10/sample09,10,9,0.18966874480247498,0.35364216566085815,0.819943904876709,0.8318743109703064,51.885364916175604,108.9825918264687,160.8679567426443
p30/sample00,30,0,0.09278378635644913,0.031682372093200684,0.2551562190055847,0.24139179289340973,51.545456398278475,109.07393597438931,160.6193923726678
p30/sample01,30,1,0.10126452147960663,0.026583632454276085,0.24251052737236023,0.22973299026489258,51.563898706808686,108.94600953906775,160.50990824587643
p30/sample02,30,2,0.06384313851594925,0.02274036779999733,0.3026839792728424,0.2893885672092438,51.645014848560095,108.90417272597551,160.5491875745356
p30/sample03,30,3,0.10438038408756256,0.04110324755311012,0.2663309574127197,0.25166910886764526,51.587625693529844,109.06851085461676,160.6561365481466
p30/sample04,30,4,0.07790982723236084,0.03132287785410881,0.25098225474357605,0.237818643450737,51.496385760605335,108.98125032708049,160.47763608768582
p30/sample05,30,5,0.07853660732507706,0.017547057941555977,0.25198134779930115,0.23732706904411316,51.54130710475147,109.02812628820539,160.56943339295685
p30/sample06,30,6,0.08106275647878647,0.021097170189023018,0.26401615142822266,0.25356796383857727,51.680313877761364,108.95165684632957,160.63197072409093
p30/sample07,30,7,0.09215261787176132,0.029010670259594917,0.281257688999176,0.2710191011428833,51.69534686207771,108.98219559155405,160.67754245363176
p30/sample08,30,8,0.07230378687381744,0.014495502226054668,0.2069624960422516,0.19674289226531982,51.82445396669209,108.9147431049496,160.73919707164168
p30/sample09,30,9,0.1033538430929184,0.04713813215494156,0.29153987765312195,0.27461835741996765,51.64039829000831,109.06918547302485,160.70958376303315
p100/sample00,100,0,0.09403371065855026,0.004038503393530846,0.10846962779760361,0.07735519856214523,51.606209963560104,108.97296856343746,160.57917852699757
p100/sample01,100,1,0.09008564800024033,0.005202159751206636,0.11686677485704422,0.07199189066886902,51.60204815864563,109.06899413466454,160.67104229331017
p100/sample02,100,2,0.07792019844055176,0.009941324591636658,0.12103524059057236,0.09183483570814133,51.667468735948205,108.90403646044433,160.57150519639254
p100/sample03,100,3,0.09856999665498734,0.004473207984119654,0.11413641273975372,0.0786801129579544,51.7544549126178,108.98350812122226,160.73796303384006
