index,name,photons,coefficient,psf_size,wf_length,requested_rms,phase_rms_error,wf_l2_error,volume_relative_l2,lf_relative_l2,noisy_lf_relative_l2,sensor_fit_relative_l2,standardized_residual_rms,relative_quasi_deviance,forward_relative_l2,forward_validation_s,solve_s,optics_setup_s,projection_setup_s,standalone_setup_and_solve_s,steps,peak_allocated_bytes,evaluation_s,save_s,case_wall_s
0,rms1_len21_shared,10,0.05539174428379614,225,21,1.0,0.27465349435806274,0.2745186686515808,1.032918095588684,0.7359939813613892,8.282468795776367,0.028597889468073845,0.9863361444489779,3.8142881777616036,5.626581696560606e-06,0.8313950654119253,194.9615240842104,5.996712405234575,0.026977211236953735,200.98521370068192,2300,5954366976,0.8200610037893057,1.8073487281799316,198.4933547694236
1,rms1_len21_01,10,0.05829866912756508,225,21,1.0,0.3034294843673706,0.3033130168914795,1.0215985774993896,0.7010670304298401,7.871098518371582,0.028596187010407448,0.9861087115452771,3.834320598940269,5.649945705954451e-06,0.8309925347566605,194.6303285807371,5.978677215054631,0.026681460440158844,200.6356872562319,2300,5954366976,0.8045589830726385,2.324994856491685,198.6527115702629
2,rms1_len21_02,10,0.04583609859936784,225,21,1.0,0.28461703658103943,0.2844744920730591,1.0346252918243408,0.8822178840637207,9.87302303314209,0.028562214225530624,0.9858440799169959,4.8193716659417625,5.568339474848472e-06,0.8335950039327145,195.26896661892533,5.705814689397812,0.026713930070400238,201.00149523839355,2300,5954366976,0.8051554802805185,2.297520488500595,199.29553484730422
3,rms1_len21_03,10,0.052334271745003304,225,21,1.0,0.5716626644134521,0.5714001655578613,1.0467207431793213,0.8000895380973816,8.799177169799805,0.028589144349098206,0.9864528254905532,4.379503971107002,5.639027676807018e-06,0.8312398996204138,194.51193042472005,6.046737261116505,0.02682047337293625,200.5854881592095,2300,5954366976,0.8038677461445332,2.17835957929492,198.4136857446283
4,rms1_len21_04,10,0.05675779415045527,225,21,1.0,0.380918949842453,0.38067081570625305,1.0406742095947266,0.7181761264801025,7.969152450561523,0.028572114184498787,0.9852997100059406,3.9710299119085737,5.565919309447054e-06,0.8309508319944143,194.60748209431767,6.026804614812136,0.02684294618666172,200.66112965531647,2300,5954366976,0.8162540085613728,2.1193943712860346,198.43146209605038
5,rms1_len21_05,10,0.056084490271348604,225,21,1.0,0.16824981570243835,0.16817329823970795,0.9930251836776733,0.7155702710151672,8.204262733459473,0.028586437925696373,0.9860651680777195,3.923312471633817,5.6598014452902135e-06,0.8312805108726025,195.20573654212058,6.0195521507412195,0.028266917914152145,201.25355561077595,2300,5954366976,0.8193882908672094,1.7673943266272545,198.68916157633066
6,rms1_len21_06,10,0.05328441123636323,225,21,1.0,0.1909942924976349,0.19088758528232574,0.9323117136955261,0.7524571418762207,8.457904815673828,0.028582779690623283,0.9859179765749527,4.26101314269031,5.556459200306563e-06,0.838500589132309,194.78189147263765,5.737593125551939,0.02683274634182453,200.54631734453142,2300,5954366976,0.8042267430573702,2.165858583524823,198.7222516555339
7,rms1_len21_07,10,0.04878262285798165,225,21,1.0,0.23727752268314362,0.23717278242111206,0.9884584546089172,0.826278567314148,9.427845001220703,0.028568867594003677,0.9860945920833469,4.551023005202279,5.625062385661295e-06,0.8318105284124613,194.71526891179383,5.987499626353383,0.027314815670251846,200.73008335381746,2300,5954366976,0.8177609574049711,2.014731351286173,198.4444271530956
8,rms1_len21_08,10,0.06684276945863946,225,21,1.0,0.18904122710227966,0.18895335495471954,0.9937969446182251,0.6027300357818604,6.981235980987549,0.02863006293773651,0.9868526260757031,3.3451525443808605,5.718966349377297e-06,0.7743200082331896,194.85846789367497,5.996712405234575,0.026977211236953735,200.8821575101465,2300,5955400192,0.7788678053766489,2.022718792781234,198.55603090114892
9,rms1_len21_09,10,0.05013927235625814,225,21,1.0,0.35364216566085815,0.35343366861343384,1.046514868736267,0.8318743109703064,8.865480422973633,0.028544513508677483,0.9843207994241882,4.145217532328513,5.45445482202922e-06,0.7766227088868618,194.74965932779014,5.978677215054631,0.026681460440158844,200.75501800328493,2300,5955400192,0.7791961245238781,1.9126652106642723,198.3126635365188
0,rms1_len21_shared,30,0.1661752328513884,225,21,1.0,0.031682372093200684,0.031665973365306854,0.7853161692619324,0.24139179289340973,2.7982325553894043,0.028929563239216805,0.9882392799300225,1.4470500703997318,5.626581696560606e-06,0.7787587232887745,195.2446847576648,5.705814689397812,0.026713930070400238,200.977213377133,2300,5955400192,0.7795326411724091,1.788596659898758,198.64835529960692
1,rms1_len21_01,30,0.17489600738269523,225,21,1.0,0.026583632454276085,0.02657504938542843,0.7552064061164856,0.22973299026489258,2.6563477516174316,0.028884857892990112,0.986267875713841,1.3900876019471833,5.649945705954451e-06,0.7783208638429642,194.433958100155,6.046737261116505,0.02682047337293625,200.50751583464444,2300,5955400192,0.777540311217308,2.4408313259482384,198.4902502670884
2,rms1_len21_02,30,0.1375082957981035,225,21,1.0,0.02274036779999733,0.02272908203303814,0.7966567873954773,0.2893885672092438,3.324096441268921,0.028803173452615738,0.9864056720896244,1.7257513459618026,5.568339474848472e-06,0.7781994994729757,194.5767981018871,6.026804614812136,0.02684294618666172,200.6304456628859,2300,5955400192,0.7787109017372131,2.216778228059411,198.40564310736954
3,rms1_len21_03,30,0.15700281523500992,225,21,1.0,0.04110324755311012,0.041084203869104385,0.797001302242279,0.25166910886764526,2.9728636741638184,0.028918646275997162,0.9889237868962225,1.5359460994125191,5.639027676807018e-06,0.7764570750296116,195.21827431209385,6.0195521507412195,0.028266917914152145,201.26609338074923,2300,5955400192,0.7794561889022589,1.72651925124228,198.70418887026608
4,rms1_len21_04,30,0.1702733824513658,225,21,1.0,0.03132287785410881,0.031304556876420975,0.7796294689178467,0.237818643450737,2.6885032653808594,0.02885105460882187,0.9849870053898206,1.4038532318458654,5.565919309447054e-06,0.7752708606421947,194.79770997911692,5.737593125551939,0.02683274634182453,200.56213585101068,2300,5955400192,0.7782567199319601,2.4203000869601965,198.9002348203212
5,rms1_len21_05,30,0.1682534708140458,225,21,1.0,0.017547057941555977,0.017540765926241875,0.7808589935302734,0.23732706904411316,2.7703683376312256,0.028894765302538872,0.9869528351294151,1.432151522190907,5.6598014452902135e-06,0.7740545850247145,194.62839296273887,5.987499626353383,0.027314815670251846,200.6432074047625,2300,5955400192,0.7788084410130978,2.1071750950068235,198.41417102888227
